sku_id, annual_units, case_pct, min_each_cases,units_case,case_pallet
11254.1,1160,0,2,100,45
14866.1,1155,0,2,88,45
35164,1153,0,2,56,45
40677,1147,0,2,48,45
10168.1,1145,0,2,140,45
14869.1,1130,0,2,64,45
38761.9,1123,0,2,8,45
23239,1122,0,2,16,45
18074,1102,0,2,28,45
41603,1097,0,2,0,45
12133.1,1095,0,2,120,45
31055,1094,0,2,150,45
33568,1087,0,2,110,45
21934,1083,0,2,16,45
10264.1,1076,0,2,120,45
12975.1,1069,0,2,110,45
21931,1066,0,2,28,45
21956,1065,0,2,22,45
10152.1,1063,0,2,140,45
12149,1058,0,2,52,45
27594.9,1056,0,2,10,45
14870.1,1055,0,2,68,45
21932,1054,0,2,22,45
16982,1048,0,2,56,45
23238,1044,0,2,16,45
10268.1,1043,0,2,150,45
38983.9,1042,0,2,9,45
18075,1036,0,2,24,45
11230.1,1031,0,2,140,45
11246.1,1030,0,2,160,45
10170.1,1028,0,2,140,45
39924,1028,0,2,68,45
14493,1022,0,2,216,45
14294,1020,0,2,20,45
41357,1020,0,2,110,45
16235.9,1020,0,2,10,45
38984.9,1018,0,2,10,45
40159,1013,0,2,40,45
40160,1013,0,2,40,45
40161,1012,0,2,60,45
11238.1,1005,0,2,75,45
40156,1003,0,2,110,45
40158,1003,0,2,80,45
40157,1002,0,2,100,45
40117,1001,0,2,70,45
21935,1001,0,2,18,45
27595.9,998,0,2,10,45
21942,997,0,2,16,45
40118,996,0,2,68,45
21939,994,0,2,18,45
27596.9,993,0,2,12,45
40146.9,992,0,2,9,45
40147.9,992,0,2,10,45
14277,991,0,2,75,45
14341,991,0,2,6,45
22162,990,0,2,14,45
11255.1,985,0,2,140,45
40140.9,981,0,2,10,45
40141.9,981,0,2,11,45
33877,978,0,2,20,45
11231.1,974,0,2,140,45
24408,974,0,2,36,45
11232.1,971,0,2,140,45
41151,971,0,2,1001,45
33889,967,0,2,25,45
21950,963,0,2,14,45
12627.1,960,0,2,100,45
41148,960,0,2,1001,45
11240.1,955,0,2,110,45
31767,954,0,2,150,45
14653.9,954,0,2,26,45
38985.9,952,0,2,11,45
12418,952,0,2,46,45
21598,951,0,2,45,45
